family,state,measurement,expected_px,observed_px,delta_px,status,formula,artifact_csv
static and focused launcher surfaces,advanced-geometry,routine to advanced panel gap,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/advanced-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section content left padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section content right padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section parameter row gap,8.00,8.00,0.00,zero-delta,PARAMETER_ROW_GAP,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section help column alignment,0.00,0.00,0.00,zero-delta,dependent and independent help rails match,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,channel-panel-geometry,channel title left inset,15.00,15.00,0.00,zero-delta,CHANNEL_PANEL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/channel-panel-geometry.csv
static and focused launcher surfaces,channel-panel-geometry,channel title top inset,15.00,15.00,0.00,zero-delta,CHANNEL_PANEL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/channel-panel-geometry.csv
static and focused launcher surfaces,channel-panel-geometry,channel panel child vertical gap,8.00,8.00,0.00,zero-delta,CHANNEL_PANEL_GAP,/private/tmp/astra-gui-final-margin-pass-v3/channel-panel-geometry.csv
static and focused launcher surfaces,closed-combo-geometry,closed combo left cell inset,11.00,11.00,0.00,zero-delta,ControlGeometry.COMBO_CELL_HORIZONTAL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/closed-combo-geometry.csv
static and focused launcher surfaces,combo-popup-geometry,combo popup list left to row,2.00,2.00,0.00,zero-delta,SURFACE_BORDER_WIDTH * 2,/private/tmp/astra-gui-final-margin-pass-v3/combo-popup-geometry.csv
static and focused launcher surfaces,combo-popup-geometry,combo popup row text inset,10.00,10.00,0.00,zero-delta,ControlGeometry.COMBO_CELL_HORIZONTAL_INSET,/private/tmp/astra-gui-final-margin-pass-v3/combo-popup-geometry.csv
static and focused launcher surfaces,combo-popup-geometry,combo popup row gap,0.00,0.00,0.00,zero-delta,combo popup rows are contiguous,/private/tmp/astra-gui-final-margin-pass-v3/combo-popup-geometry.csv
static and focused launcher surfaces,custom-controls-geometry,section content left padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/custom-controls-geometry.csv
static and focused launcher surfaces,custom-controls-geometry,section content right padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/custom-controls-geometry.csv
static and focused launcher surfaces,custom-controls-geometry,section parameter row gap,8.00,8.00,0.00,zero-delta,PARAMETER_ROW_GAP,/private/tmp/astra-gui-final-margin-pass-v3/custom-controls-geometry.csv
static and focused launcher surfaces,dashboard-geometry-overlay,left outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,input pane to output pane,16.00,16.00,0.00,zero-delta,OUTER_MARGIN - SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,scrollbar gutter width,24.00,24.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,visible bar width,8.00,8.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH / 3,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,input content to visible bar,24.00,24.00,0.00,zero-delta,INPUT_CONTENT_TO_BAR_GAP + SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,visible bar to output pane,24.00,24.00,0.00,zero-delta,SCROLLBAR_SIDE_PADDING + INTER_PANE_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,right outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,input pane bottom to output pane bottom,0.00,0.00,0.00,zero-delta,input/output panes share workspace bottom,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,header to input pane,24.00,24.00,0.00,zero-delta,workspace top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,output pane to run button,24.00,24.00,0.00,zero-delta,main action bar top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,run button to bottom,24.00,24.00,0.00,zero-delta,main action bar bottom OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,run button to right edge,24.00,24.00,0.00,zero-delta,main action bar right OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,channel panel to settings panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,settings panel to advanced panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard grid left frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard grid right frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard card column gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard card row gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
